agent_id,theta
20240402_sweagent_claude3opus,-1.7466778
20240402_sweagent_gpt4,-1.2832758
20240612_MASAI_gpt4o,-0.7434609
20240620_sweagent_claude3.5sonnet,-0.6959065
20240721_amazon-q-developer-agent-20240719-dev,-0.4716153
20240728_sweagent_gpt4o,-1.2139686
20240820_epam-ai-run-gpt-4o,-1.2028141
20240820_honeycomb,-0.42379108
20240918_lingma-agent_lingma-swe-gpt-72b,-1.1419096
20240918_lingma-agent_lingma-swe-gpt-7b,-2.228375
20241002_lingma-agent_lingma-swe-gpt-72b,-0.93590856
20241002_lingma-agent_lingma-swe-gpt-7b,-1.5622787
20241007_nfactorial,-0.7895164
20241016_composio_swekit,-0.39653367
20241016_epam-ai-run-gpt-4o,-1.0257663
20241025_composio_swekit,-0.059696663
20241028_agentless-1.5_gpt4o,-0.46872377
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,0.109598406
20241029_epam-ai-run-claude-3-5-sonnet,-0.42875245
20241030_nfactorial,-0.3615675
20241105_nfactorial,-0.021134272
20241106_navie-2-gpt4o-sonnet,-0.104934745
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,-0.15707679
20241108_devlo,0.18716983
20241113_nebius-search-open-weight-models-11-24,-0.3897395
20241125_enginelabs,0.053803857
20241125_marscode-agent-dev,-0.016632391
20241202_agentless-1.5_claude-3.5-sonnet-20241022,0.049833186
20241212_epam-ai-run-claude-3-5-sonnet,0.22681232
20241213_devlo,0.33539143
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,0.5630131
20250110_blackboxai_agent_v1.1,0.57129145
20250110_learn_by_interact_claude3.5,0.4831415
20250117_wandb_programmer_o1_crosscheck5,0.65478545
20250118_codeshellagent_gemini_2.0_flash_experimental,-0.24240454
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,0.06640984
20250203_openhands_4x_scaled,0.4598977
20250226_swerl_llama3_70b,-0.35081047
20250228_epam-ai-run-claude-3-5-sonnet,0.5908271
20250410_cortexa,0.34890136
20250415_openhands,0.6799891
20250503_patchpilot-v1.1-o4-mini,0.6634319
20250511_sweagent_lm_32b,-0.4289423
20250515_Refact_Agent,0.897637
20250516_cortexa_o3,0.822315
20250519_devlo,0.9363303
20250519_trae,0.89134455
20250520_openhands_devstral_small,-0.14035296
20250522_sweagent_claude-4-sonnet-20250514,0.7298337
20250524_openhands_claude_4_sonnet,0.9055184
20250527_amazon.nova-premier-v1.0,-0.33228624
20250528_patchpilot_Co-PatcheR,-0.17959905
20250603_Refact_Agent_claude-4-sonnet,1.109907
20250611_moatless_claude-4-sonnet-20250514,0.9866895
20250612_trae,1.1670086
20250616_Skywork-SWE-32B,-0.5270484
20250616_Skywork-SWE-32B+TTS_Bo8,-0.1460829
20250627_agentless_MCTS-Refine-7B,-1.2403357
20250710_bloop,0.9517525
20250716_openhands_kimi_k2,0.65840936
20250728_zai_glm4-5,0.60811603
20250804_codesweep_sweagent_kimi_k2_instruct,0.1226289
20250804_epam-ai-run-claude-4-sonnet,1.2673585
